Neighbourhood,Neighbourhood Id,Total Population,Visible Minority Category,   Not a Visible Minority,Total Area,   In Labour Force,Recent Immigrants,   Unemployed,   Not in Labour Force,Less than grade 9,With Bachelor Degree or Higher,With College Certificate/Diploma,Total by Tenure,Tenant Average Rent,Average Family Income,After-Tax Household Income,Pre-Tax Household Income,Part-Time Employment,Low Income Families,Lone Parent Families,Low Income Population,Early Development Instrument (EDI),Seniors Living Alone,Hospital Readmissions,Healthy Food Index,Rent Bank Applicants,Social Housing Units,Social Housing RGI,PFR Program Free Registrations,PFR Program Registrations,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms
University,79,7607,0.877481267,0.587616669,0.000184041,0.579071907,0.041409228,0.047982122,0.231365847,0.085447614,0.462074405,0.58630209,0.432496385,1246,92815,45538,51222,0.320625739,0.155120284,0.022347838,0.201130538,20,0.013803076,1.47,42.62,2,0.042855265,0.018929933,0,0,0.004601025,0.014591823,0.002629157,0.00617852,0.002760615,0.001708952,0.000657289,0,0.000131458,0.030498225
Palmerston-Little Italy,80,13826,0.995226385,0.781860263,0.000101258,0.670837552,0.023506437,0.045566324,0.232894547,0.14284681,0.449153768,0.598871691,0.450961956,1181,94190,52309,59378,0.104368581,0.092579199,0.03037755,0.130912773,10.98901099,0.009402575,0.67,45.81,2,0.012223347,0.01128309,0,0.208737162,0.000650947,0.004845942,0.000940257,0.002820772,0.001952842,0.00086793,0.000433965,0,0,0.01041516
Trinity-Bellwoods,81,16556,0.980309253,0.689176129,0.000102682,0.607332689,0.027784489,0.036844648,0.26818072,0.253684465,0.347004107,0.4886446,0.413445277,1130,77477,51502,56368,0.117842474,0.120198115,0.036240638,0.194491423,10,0.008758154,1.21,35.45,1,0.015100266,0.01020778,0,0.386506403,0.003261657,0.008033341,0.000604011,0.002959652,0.001208021,0.001510027,0.000120802,6.04011E-05,0.000120802,0.013469437
Niagara,82,31180,0.976266838,0.633899936,9.94227E-05,0.788806928,0.045060936,0.035599743,0.121712636,0.037363695,0.546023092,0.747434253,0.40522771,1296,88996,59929,70862,0.152597819,0.055484285,0.021488133,0.08274535,13.58024691,0.003688262,0.8,34.94,14,0.030115459,0.015234124,0,0,0.001763951,0.006606799,0.00086594,0.002180885,0.000513149,0.000705581,0.000577293,3.20718E-05,3.20718E-05,0.015394484
Dufferin Grove,83,11785,0.993635978,0.68561731,0.000118795,0.641069156,0.040729741,0.0479423,0.243529911,0.170131523,0.336444633,0.521849809,0.433177768,1021,66895,44145,47843,0.142978362,0.111158252,0.037335596,0.181586763,18.51851852,0.007636826,1.06,40.07,6,0.014085702,0.008739924,0,0,0.001697073,0.007127705,0.000593975,0.002291048,0.001272804,0.000678829,0.000254561,8.48536E-05,8.48536E-05,0.010267289
Little Portugal,84,15559,0.967607173,0.693489299,7.71258E-05,0.684491291,0.032135741,0.044025966,0.193135806,0.195385308,0.375345459,0.545664888,0.340960216,997,74372,52519,59886,0.072433961,0.083552928,0.03599203,0.13047111,10.86956522,0.004820361,1.22,37.58,7,0.033999614,0.015875056,0,0.267754997,0.001156887,0.006170062,0.000771258,0.002506588,0.000514172,0.000835529,0.000192814,6.42715E-05,0.000128543,0.012918568
South Parkdale,85,21849,0.94535219,0.491097991,0.000105268,0.601171678,0.077577921,0.051489771,0.249668177,0.157215433,0.270035242,0.504370909,0.484919218,865,54454,32539,35601,0.069568401,0.166598014,0.044395625,0.259050757,17.5257732,0.01601904,1.53,26.84,30,0.073229896,0.046272141,0.234884892,0.013089844,0.001373061,0.009336812,0.000457687,0.003066502,0.001510367,0.001006911,0.000411918,4.57687E-05,4.57687E-05,0.019726303
Roncesvalles,86,14974,0.993054628,0.739949245,0.000100174,0.602377454,0.034059036,0.040069454,0.237077601,0.154267397,0.366635502,0.538266328,0.455122212,939,86526,46883,52154,0.086883932,0.11219447,0.036730333,0.176305596,6.040268456,0.020034727,1.23,44.85,4,0.034125818,0.031387739,0.033457994,0.223921464,0.001869908,0.00634433,0.000734607,0.002537732,0.001669561,0.000801389,0.000200347,0,0.000333912,0.016495258
High Park-Swansea,87,23925,0.976175549,0.789341693,0.000221526,0.607105538,0.021107628,0.03615465,0.221107628,0.064367816,0.445768025,0.620480669,0.411912226,1053,116465,62128,72286,0.111097179,0.056426332,0.032183908,0.095715778,5.911330049,0.014838036,0.86,46.53,7,0.012539185,0.00969697,0.001504702,0.219017764,0.000835946,0.003552769,0.00045977,0.001337513,0.000835946,0.00045977,0.000208986,0,0.000125392,0.010950888
High Park North,88,22162,0.984342568,0.750834762,8.57323E-05,0.618852089,0.055951629,0.043768613,0.237568811,0.07219565,0.456863099,0.641187618,0.478521794,1134,89737,52827,60879,0.040249075,0.081671329,0.034744157,0.132659507,7.103825137,0.016920856,0.94,40.24,6,0.035556358,0.02887826,0.002707337,0.352089162,0.000360978,0.003339049,0.000541467,0.001218302,0.000902446,0.000360978,4.51223E-05,0,0,0.007264687
